timestamp,price_usd,volume_24h,market_cap,coin
2025-04-20 00:04:53.780,85089.15978095334,12670744245.852667,1689897550386.7046,bitcoin
2025-04-20 01:04:39.515,85136.60177429907,12878809250.118336,1690014696810.214,bitcoin
2025-04-20 02:04:32.423,85279.66518510957,12986518209.386763,1692811017422.632,bitcoin
2025-04-20 03:04:45.251,85234.9939190133,12709118146.570816,1692087335729.1084,bitcoin
2025-04-20 04:04:13.788,85143.828498931,12234548336.676558,1690194409231.552,bitcoin
2025-04-20 05:01:40.936,85195.6725951446,11525255642.587013,1691507765847.7295,bitcoin
2025-04-20 06:01:18.578,85100.82279248716,11101878470.254309,1689695694445.2742,bitcoin
2025-04-20 07:04:37.355,84950.9007313259,11000452173.068111,1686298015745.2847,bitcoin
2025-04-20 08:04:51.704,84777.37613360975,11650049141.506971,1683177171336.2463,bitcoin
2025-04-20 09:04:14.804,84631.43686608228,11591606870.61641,1680184114051.203,bitcoin
2025-04-20 10:04:43.986,84530.86583852716,11508919534.937735,1678096085084.5374,bitcoin
2025-04-20 11:04:51.487,84160.54490886752,12059142439.175615,1670762187235.1323,bitcoin
2025-04-20 12:04:46.210,84093.83367559967,12230431550.36667,1669332705575.1611,bitcoin
2025-04-20 13:04:47.251,84347.36438378347,12572805575.256184,1674631137236.5178,bitcoin
2025-04-20 14:04:30.800,84327.78944172559,12620261042.668427,1674901066601.6895,bitcoin
2025-04-20 15:04:40.110,84612.56642329428,12740827260.99758,1679947497347.6538,bitcoin
2025-04-20 16:04:44.724,84357.12486748009,11983928457.8797,1674854599497.571,bitcoin
2025-04-20 17:04:34.686,84598.16864692859,11407587141.556297,1679450311424.036,bitcoin
2025-04-20 18:04:48.198,84563.85942887008,11178582344.299303,1678984581602.7239,bitcoin
2025-04-20 19:04:44.699,84561.23870595935,11015463675.223082,1678657868644.1992,bitcoin
2025-04-20 20:04:45.731,84633.09631104583,10930864938.457783,1680256538983.5999,bitcoin
2025-04-20 21:04:41.938,85074.9301477244,11704693509.219442,1688901886144.595,bitcoin
2025-04-20 22:04:19.496,85006.65839359477,11864783658.919407,1688694921426.2583,bitcoin
2025-04-20 23:04:46.701,84832.44738276633,12104644653.904951,1684222671586.06,bitcoin
2025-04-21 00:04:43.007,85140.01930346077,12659750519.9577,1690139216751.109,bitcoin
2025-04-21 01:04:51.516,86714.02766242875,16550336551.285799,1721425730645.1816,bitcoin
2025-04-21 02:04:54.376,87278.3464593321,18584663778.50882,1732436011691.1497,bitcoin
2025-04-21 03:00:49.371,87325.35908063866,21476209672.698124,1733668510737.0144,bitcoin
2025-04-21 04:04:42.687,87228.60184957321,22363232352.524635,1731977330230.6045,bitcoin
2025-04-21 05:03:43.715,87323.94026251098,23210322907.112617,1733204022239.214,bitcoin
2025-04-21 06:01:03.805,87542.22595116406,24074803466.54373,1738150005061.5452,bitcoin
2025-04-21 07:03:21.837,87506.67640355151,23102253316.562756,1736836279219.3982,bitcoin
2025-04-21 08:04:39.700,87446.14418253464,23917329535.529823,1736558169218.7964,bitcoin
2025-04-21 09:09:32.608,87636.20600701202,24436765056.41213,1739408187537.8962,bitcoin
2025-04-21 10:04:26.878,87491.96387120764,24780648061.352463,1736958352401.776,bitcoin
2025-04-21 11:04:03.285,87345.61297579524,24630464706.46601,1734164511952.8972,bitcoin
2025-04-21 12:03:35.731,86951.23393622616,25141594043.229687,1726200002598.4736,bitcoin
2025-04-21 13:09:29.945,87029.4162966705,25633493993.71133,1728927741286.6418,bitcoin
2025-04-21 14:04:28.438,87170.64212179757,27450943979.555202,1734618492611.6084,bitcoin
2025-04-21 15:04:55.430,88183.22734480911,31261793671.488033,1748941429160.1885,bitcoin
2025-04-21 16:04:54.922,88053.972667927,33215138668.762897,1748407937588.4556,bitcoin
2025-04-21 17:04:45.909,87263.62426688836,35134749926.61371,1734611966114.4485,bitcoin
2025-04-21 18:01:23.676,86906.81060010106,37090291609.68336,1726069731393.8,bitcoin
2025-04-21 19:09:38.984,86872.88362183892,38333572562.1111,1724187368943.985,bitcoin
2025-04-21 20:09:30.503,87267.08133220796,39693997714.498726,1734330690615.4822,bitcoin
2025-04-21 21:04:42.002,87240.99623910723,39433392998.23552,1732144742136.0881,bitcoin
2025-04-21 22:09:27.086,87133.19844863031,39735211417.973885,1732443419867.965,bitcoin
2025-04-21 23:03:19.294,87118.9841439109,39801838176.88676,1729717267456.5078,bitcoin
2025-04-22 00:09:28.505,87530.85023993472,39741058939.04559,1737318769836.1663,bitcoin
2025-04-22 01:05:04.323,87561.47787989446,37449430343.86999,1736748258355.5137,bitcoin
2025-04-22 02:01:12.250,88427.93464457903,37264189843.56952,1755654305286.7122,bitcoin
2025-04-22 03:04:35.682,88134.56104399524,36333122609.88249,1749229490364.2463,bitcoin
2025-04-22 04:09:24.542,88206.8971608964,36335514896.34648,1750647130673.2324,bitcoin
2025-04-22 05:04:50.874,88097.16160628853,36422284422.60896,1750626920579.5537,bitcoin
2025-04-22 06:00:15.774,88353.8950523597,35189980620.64078,1753605865509.4136,bitcoin
2025-04-22 07:05:34.804,88198.71827387622,36030781562.737785,1750671348388.759,bitcoin
2025-04-22 08:04:36.748,88439.4111997744,36371412799.49391,1754963175083.352,bitcoin
2025-04-22 09:09:23.190,88443.79494014631,36636945223.480385,1755635794295.6584,bitcoin
2025-04-22 10:04:52.792,88523.46935894903,36287607147.10234,1758170696246.565,bitcoin
2025-04-22 11:05:39.540,88555.86571149474,36198348163.92091,1758090161910.5203,bitcoin
