timestamp,price_usd,volume_24h,market_cap,coin
2025-04-20 00:04:52.917,1613.6301991547682,5722208407.004602,194837334305.52097,ethereum
2025-04-20 01:04:39.409,1610.3813916865831,5786391859.5509,194352720394.79807,ethereum
2025-04-20 02:04:31.733,1617.0287009498843,5665523449.895606,195206603755.67487,ethereum
2025-04-20 03:04:45.022,1616.5175472674484,5475441527.777893,195122162484.0627,ethereum
2025-04-20 04:04:13.952,1610.9211687112993,5592957858.424005,194419185969.43073,ethereum
2025-04-20 05:01:02.976,1614.788005639417,5112833609.592049,194966352905.4976,ethereum
2025-04-20 06:01:10.365,1611.140165971942,5281606791.726892,194581543625.3117,ethereum
2025-04-20 07:04:36.978,1605.7741468713334,5152760465.006601,193825495783.8028,ethereum
2025-04-20 08:00:35.055,1595.3969937075979,5608567920.542978,192537994890.65372,ethereum
2025-04-20 09:04:20.766,1589.6437697694635,5721139789.499634,191867637532.28116,ethereum
2025-04-20 10:04:44.014,1591.0429817557037,5606639850.99031,191999833813.60324,ethereum
2025-04-20 11:04:45.989,1575.9864553399373,5574956554.157149,190570425585.95273,ethereum
2025-04-20 12:04:47.845,1571.5445538284162,6653689195.849365,189667227999.51526,ethereum
2025-04-20 13:04:46.718,1575.98478916522,6678733096.4259,190296221055.18564,ethereum
2025-04-20 14:04:31.150,1577.898354019055,6768194305.074819,190482861836.76025,ethereum
2025-04-20 15:04:39.680,1580.4054153488773,6765608278.659544,190777830381.90326,ethereum
2025-04-20 16:04:44.462,1573.6549472700067,6745951672.072413,189951424195.32443,ethereum
2025-04-20 17:04:41.234,1580.7198535263165,6531860702.430697,190751668295.55283,ethereum
2025-04-20 18:04:49.698,1579.1718317747782,6252966236.384494,190614875615.8679,ethereum
2025-04-20 19:04:43.737,1580.937686720852,6043156100.371519,190811379168.09488,ethereum
2025-04-20 20:00:01.785,1585.554943839502,6117594541.159607,191335413858.2689,ethereum
2025-04-20 21:04:42.696,1588.9568906243449,6319998014.287867,191789404589.98453,ethereum
2025-04-20 22:04:35.227,1588.2447122290696,6441726314.939299,191710023049.77866,ethereum
2025-04-20 23:04:50.391,1581.6040811239568,6601497809.141824,190888325200.3702,ethereum
2025-04-21 00:04:35.027,1586.3316796392694,6695483853.616966,191463074137.76187,ethereum
2025-04-21 01:04:55.223,1611.76308132267,7243297782.924807,194732178188.11496,ethereum
2025-04-21 02:04:54.509,1627.391707498208,7415588593.360007,196329229210.96768,ethereum
2025-04-21 03:00:51.612,1632.278276497339,8887040448.16175,197036428638.06296,ethereum
2025-04-21 04:04:43.298,1636.0618532303072,9359040967.608755,197468600422.94992,ethereum
2025-04-21 05:03:45.894,1638.9480059750917,9678842624.453901,197776804922.37784,ethereum
2025-04-21 06:00:38.882,1648.3336570589129,9258699807.675041,198866052852.39322,ethereum
2025-04-21 07:03:06.678,1648.7687191301063,10589672118.185001,199065871633.95996,ethereum
2025-04-21 08:04:44.226,1645.8463487764275,10392702760.227844,198725086364.1268,ethereum
2025-04-21 09:09:31.649,1649.2442046872607,10516125176.855997,199002410259.1696,ethereum
2025-04-21 10:04:36.934,1642.5030570667648,10650488075.812677,198265377631.42075,ethereum
2025-04-21 11:04:41.253,1634.7011142760396,10513999049.24478,197241321740.22232,ethereum
2025-04-21 12:04:30.670,1625.3132592458317,10464251943.402943,196179596688.3404,ethereum
2025-04-21 13:09:29.832,1623.8494635572945,10394821847.091629,196094018394.2686,ethereum
2025-04-21 14:01:18.859,1617.8765307461044,10916589704.952381,195791122459.31876,ethereum
2025-04-21 15:04:57.948,1631.2236381302885,11414787668.674715,196606753612.4438,ethereum
2025-04-21 16:01:53.771,1622.8007936356078,11885220041.235605,195883211299.9705,ethereum
2025-04-21 17:04:51.150,1595.41177149144,12715838341.01424,193231810813.27814,ethereum
2025-04-21 18:00:43.968,1581.3723791965006,13783533029.689215,190911394750.91583,ethereum
2025-04-21 19:09:39.179,1571.389080628032,14179020815.258606,189677161298.10583,ethereum
2025-04-21 20:09:30.551,1574.6287253876721,15201885714.144028,190247228554.49594,ethereum
2025-04-21 21:04:47.737,1575.1227647508135,15106995826.569025,190156925956.20288,ethereum
2025-04-21 22:09:36.438,1576.7809535087174,15253882234.3446,190465851972.76224,ethereum
2025-04-21 23:03:19.474,1577.0525446706358,14764897991.62959,190374931633.16333,ethereum
2025-04-22 00:06:00.806,1578.7839199994824,14359753340.079365,190565850488.98645,ethereum
2025-04-22 01:04:58.470,1564.9009715618863,15437823887.80702,188648532470.57437,ethereum
2025-04-22 02:01:42.189,1586.7994104313782,15457097752.116995,191485600785.13892,ethereum
2025-04-22 03:04:41.283,1576.017082494034,14730121165.125708,190159086401.41135,ethereum
2025-04-22 04:09:20.374,1580.820511560719,14940489920.18476,190646464890.8265,ethereum
2025-04-22 05:04:50.403,1579.563720144082,14877495490.34376,190900658318.304,ethereum
2025-04-22 06:04:44.237,1583.5040742391159,13867551619.311985,191025581247.51715,ethereum
2025-04-22 07:04:51.755,1581.1161405279731,14200066693.274845,190655226446.91782,ethereum
2025-04-22 08:04:37.034,1618.4993154702781,12566279678.117678,195107352854.2148,ethereum
2025-04-22 09:09:22.455,1627.6838430857222,15872332342.629099,196426488494.08307,ethereum
2025-04-22 10:04:48.237,1625.7258506458695,15995525624.493465,196429611215.92575,ethereum
2025-04-22 11:04:56.019,1628.2278623433206,16014198264.718504,196510776148.2841,ethereum
2025-04-22 12:06:22.175,1630.6594342207375,15840099450.455147,196756739442.7996,ethereum
2025-04-22 13:04:34.045,1636.1466244742908,15819091565.294436,197493071419.29297,ethereum
